SHL,Fs,haplo
1.055,68.973,H1H2
1.073,62.0625,H1H2
1.069,62.6814,H1H2
1.069,64.2712,H1H2
1.057,63.8359,H1H2
1.075,65.9113,H1H2
1.069,62.3722,H1H2
1.052,62.326,H1H2
1.066,66.4179,H1H2
1.064,65.1697,H1H2
1.071,64.1457,H1H2
1.03,65.0314,H1H2
1.07,65.9035,H1H2
1.04,66.0066,H1H2
1.083,62.3641,H1H2
1.033,63.009,H1H2
1.053,62.5606,H1H2
1.05,66.1606,H1H2
1.063,70.9483,H1H2
1.072,60.6845,H1H2
1.085,66.2388,H1H2
1.048,66.8482,H1H2
1.055,60.5982,H1H2
1.074,69.2805,H1H2
1.081,65.0455,H1H2
1.068,65.9114,H1H2
1.021,66.6632,H1H2
1.094,67.8417,H1H2
1.055,64.3035,H1H2
1.029,64.7598,H1H2
1.091,63.6348,H1H2
NA,60.9204,H1H2
NA,67.0471,H1H2
NA,61.4747,H1H2
NA,65.7777,H1H2
NA,65.6493,H1H2
NA,64.902,H1H2
NA,62.6785,H1H2
NA,60.4159,H1H2
NA,64.4301,H1H2
NA,63.7486,H1H2
NA,62.9393,H1H2
NA,68.3914,H1H2
NA,59.275,H1H2
NA,64.01,H1H2
NA,61.2956,H1H2
NA,64.2974,H1H2
NA,65.2512,H1H2
NA,62.5457,H1H2
NA,65.4955,H1H2
NA,62.4039,H1H2
NA,62.9386,H1H2
NA,69.1821,H1H2
NA,63.9379,H1H2
NA,70.1783,H1H2
NA,61.4883,H1H2
1.099,57.6975,H2
1.109,57.7547,H2
1.069,54.6735,H2
1.099,62.3696,H2
1.116,57.428,H2
1.11,55.9915,H2
1.13,58.3039,H2
1.112,53.8067,H2
1.139,58.0416,H2
1.119,58.3157,H2
1.122,55.172,H2
1.108,56.8598,H2
1.096,60.3382,H2
1.142,58.0428,H2
1.1,56.9134,H2
1.087,56.7334,H2
1.117,58.7143,H2
1.086,55.9105,H2
1.108,59.2363,H2
1.077,54.9607,H2
1.139,56.3577,H2
1.073,56.614,H2
1.115,57.0951,H2
1.077,58.6772,H2
1.077,56.0571,H2
1.122,57.6483,H2
1.083,56.4311,H2
1.097,57.7714,H2
1.109,59.6077,H2
1.091,59.016,H2
1.096,57.4321,H2
1.08,56.5322,H2
1.132,59.2628,H2
1.11,60.0849,H2
1.107,56.0699,H2
1.119,58.8975,H2
1.08,57.306,H2
1.116,57.7241,H2
1.104,56.8409,H2
1.087,59.4932,H2
1.08,51.9024,H2
1.087,58.7045,H2
1.094,58.1686,H2
1.137,59.8885,H2
1.085,57.9262,H2
1.078,55.3638,H2
1.077,57.9047,H2
1.098,57.4142,H2
1.11,57.6583,H2
1.09,61.7413,H2
1.097,60.1922,H2
NA,60.6271,H2
NA,57.5722,H2
NA,57.345,H2
NA,56.5876,H2
NA,56.5663,H2
NA,56.8906,H2
NA,57.865,H2
NA,58.7491,H2
NA,58.4318,H2
NA,57.1161,H2
NA,57.6275,H2
NA,58.0298,H2
NA,58.7062,H2
NA,57.2519,H2
NA,57.0772,H2
NA,57.8862,H2
NA,58.5456,H2
