SHL,Fs,geno
0.8798,49.0061,Di2Di2
0.882,51.8288,Di2Di2
0.8912,47.1649,Di2Di2
0.9072,50.975,Di2Di2
0.9093,54.871,Di2Di2
0.9161,49.1868,Di2Di2
0.9278,43.2383,Di2Di2
0.9364,51.0988,Di2Di2
0.9441,46.9704,Di2Di2
0.9456,50.5265,Di2Di2
0.9458,54.7565,Di2Di2
0.9462,48.0328,Di2Di2
0.9464,43.4075,Di2Di2
0.9584,45.3678,Di2Di2
0.9608,47.7306,Di2Di2
0.9624,43.228,Di2Di2
0.9629,43.8544,Di2Di2
0.9731,45.3665,Di2Di2
0.9788,44.3173,Di2Di2
0.9793,44.5703,Di2Di2
0.984,46.35,Di2Di2
0.985,40.2968,Di2Di2
0.986,44.392,Di2Di2
0.9921,41.431,Di2Di2
0.9935,49.9443,Di2Di2
0.994,47.8678,Di2Di2
1.0011,53.4211,Di2Di2
1.0145,45.4918,Di2Di2
1.031,48.3225,Di2Di2
0.9292,51.701,Di2di2
0.9354,48.0521,Di2di2
0.946,50.4072,Di2di2
0.9505,40.455,Di2di2
0.9508,54.243,Di2di2
0.9554,50.8103,Di2di2
0.9576,53.02,Di2di2
0.9591,48.351,Di2di2
0.9644,48.6498,Di2di2
0.965,50.76,Di2di2
0.9657,47.3747,Di2di2
0.9668,49.412,Di2di2
0.9673,49.1258,Di2di2
0.9687,53.8468,Di2di2
0.9688,47.4765,Di2di2
0.9689,53.4328,Di2di2
0.9705,57.3765,Di2di2
0.9712,58.462,Di2di2
0.9716,48.365,Di2di2
0.9716,66.3585,Di2di2
0.9728,35.1198,Di2di2
0.9737,47.269,Di2di2
0.9777,53.8336,Di2di2
0.978,47.35,Di2di2
0.9798,47.504,Di2di2
0.9799,45.8858,Di2di2
0.9906,40.2098,Di2di2
0.9919,51.1883,Di2di2
0.9997,40.6593,Di2di2
1.0002,42.1575,Di2di2
1.0048,56.1029,Di2di2
1.0077,44.5857,Di2di2
1.0086,50.5425,Di2di2
1.009,47.9492,Di2di2
1.0117,55.3073,Di2di2
1.0123,55.0888,Di2di2
1.0132,50.3563,Di2di2
1.0136,50.9683,Di2di2
1.0164,36.7667,Di2di2
1.0188,43.5309,Di2di2
1.0244,40.0782,Di2di2
1.0247,58.89,Di2di2
1.0281,49.633,Di2di2
1.0297,46.7153,Di2di2
1.0299,53.3843,Di2di2
1.0317,46.1523,Di2di2
1.0329,53.9768,Di2di2
1.0339,56.5138,Di2di2
1.0356,45.2265,Di2di2
1.0368,49.959,Di2di2
1.0429,57.8088,Di2di2
1.0433,49.7988,Di2di2
1.0439,54.8407,Di2di2
1.0525,44.2692,Di2di2
1.0628,41.0153,Di2di2
1.0638,60.4015,Di2di2
1.0671,48.7673,Di2di2
0.9119,47.935,di2di2
0.9659,47.873,di2di2
0.9709,43.8585,di2di2
0.9764,51.6943,di2di2
0.996,43.5678,di2di2
0.9991,37.3603,di2di2
1.0025,56.9081,di2di2
1.0049,45.1695,di2di2
1.0064,53.5058,di2di2
1.0126,53.2295,di2di2
1.0144,59.0785,di2di2
1.0217,54.4806,di2di2
1.0222,59.0241,di2di2
1.0266,55.9923,di2di2
1.0317,59.8623,di2di2
1.0319,54.0525,di2di2
1.0362,50.9175,di2di2
1.0369,66.442,di2di2
1.0423,53.2573,di2di2
1.0466,46.1113,di2di2
1.0477,48.8117,di2di2
1.0601,46.0125,di2di2
1.0602,49.4223,di2di2
1.0652,57.7513,di2di2
1.0723,57.2605,di2di2
