Fs,haplo
67.67,H1
69.75,H1
70.67,H1
68.42,H1
70.95,H1
53.16,H1
73.34,H1
69.69,H1
68.75,H1
64.71,H1
62.54,H1
65.31,H1
64.38,H2
66.89,H2
72.86,H2
67.77,H2
68.73,H2
69.47,H2
70.57,H2
76.59,H2
74.66,H2
72.78,H2
69.4,H2
75.1,H2
70.56,H2
70.28,H2
49.11,H2
67.91,H2
60.58,H2
59.57,H2
57.93,H2
70.34,H2
71.8,H2
61.23,H2
73.6,H2
69.12,H2
75.31,H2
65.53,H2
64.33,H2
66.61,H2
66.47,H2
58.36,H2
63.95,H2
70.44,H2
72.54,H2
75.19,H2
72.3,H2
66.09,H2
50.02,H2
49.02,H2
74.16,H2
67.43,H2
67.63,H2
74.97,H2
56.35,H2
72.52,H2
68.98,H2
71.15,H2
77.68,H2
72.02,H2
68.74,H2
71.51,H2
70.61,H2
68.92,H2
54.26,H2
72.1,H2
69.01,H2
69.71,H2
65.37,H2
57.25,H2
70.11,H2
64.23,H2
68.53,H2
72.88,H2
65.95,H2
73.25,H2
73.07,H2
77.08,H2
70.14,H2
71.08,H2
69.87,H2
67.01,H2
71.39,H2
62.49,H2
73.43,H2
75.89,H2
63.88,H2
74.36,H2
70.36,H2
66.06,H2
70.38,H1H2
73.39,H1H2
73.97,H1H2
69.93,H1H2
77.33,H1H2
77.36,H1H2
68.94,H1H2
69.4,H1H2
75.1,H1H2
58.73,H1H2
61.36,H1H2
67.05,H1H2
71.3,H1H2
70.2,H1H2
74.64,H1H2
64.91,H1H2
67.65,H1H2
71.48,H1H2
66.41,H1H2
68.63,H1H2
70.21,H1H2
74.37,H1H2
70.4,H1H2
72.33,H1H2
76.76,H1H2
68.94,H1H2
69.37,H1H2
61.65,H1H2
74.82,H1H2
77.62,H1H2
65.39,H1H2
69.61,H1H2
75.92,H1H2
72.41,H1H2
74.8,H1H2
71.93,H1H2
70.86,H1H2
72.35,H1H2
73.55,H1H2
70.41,H1H2
74.87,H1H2
78.52,H1H2
77,H1H2
71.8,H1H2
75.6,H1H2
70.44,H1H2
69.95,H1H2
75.65,H1H2
77.25,H1H2
63.78,H1H2

