SHL,Fs,LocusG,haplo
1.0099,67.7478,P,H1
0.9988,70.6858,P,H1
1.0205,68.396,P,H1
0.8731,53.1595,P,H1
0.8998,69.7433,P,H1
0.934,68.786,P,H1
0.9548,69.8023,N,H1
0.9984,70.978,N,H1
0.9779,73.326,N,H1
0.9286,64.6995,N,H1
0.9804,62.484,N,H1
0.9335,65.3011,N,H1
1.0454,70.4415,P,H1H2
1.0898,69.9473,P,H1H2
1.0732,77.2995,P,H1H2
1.1529,77.3525,P,H1H2
1.1394,68.875,P,H1H2
1.0098,69.4048,P,H1H2
1.0259,58.7085,P,H1H2
1.0867,61.356,P,H1H2
1.1324,67.0835,P,H1H2
1.0606,71.2712,P,H1H2
1.0624,70.2295,P,H1H2
1.0564,68.636,P,H1H2
1.0672,72.3105,P,H1H2
1.0463,76.786,P,H1H2
1.0669,68.909,P,H1H2
1.0766,69.386,P,H1H2
1.0195,74.7668,P,H1H2
1.11,77.5618,P,H1H2
0.9509,65.3758,P,H1H2
1.0483,69.6065,P,H1H2
0.9727,74.8275,P,H1H2
1.0861,71.9055,P,H1H2
1.0054,70.8785,P,H1H2
1.0182,72.3815,P,H1H2
1.1185,73.633,P,H1H2
0.9855,70.3938,P,H1H2
1.1023,74.8953,P,H1H2
1.069,78.5095,P,H1H2
1.0569,77.0155,P,H1H2
1.0452,69.994,P,H1H2
0.9897,75.676,P,H1H2
1.0831,77.3268,P,H1H2
1.0511,63.8248,P,H1H2
0.9714,73.3528,N,H1H2
1.0221,73.9615,N,H1H2
1.0068,75.0848,N,H1H2
0.9812,74.6138,N,H1H2
0.9957,64.897,N,H1H2
1.026,67.657,N,H1H2
1.0289,71.4888,N,H1H2
1.0097,66.417,N,H1H2
1.0614,70.167,N,H1H2
1.0792,74.3748,N,H1H2
0.9952,70.3568,N,H1H2
1.0661,61.694,N,H1H2
1.0584,75.9325,N,H1H2
1.0682,72.3632,N,H1H2
0.9801,71.752,N,H1H2
1.0758,75.5705,N,H1H2
0.9895,70.4,N,H1H2
1.1702,66.9255,P,H2
1.0638,72.8872,P,H2
1.063,67.7895,P,H2
1.0872,76.588,P,H2
1.1401,74.6845,P,H2
1.1372,72.7783,P,H2
1.099,70.2958,P,H2
1.1092,67.8745,P,H2
1.0864,70.3457,P,H2
1.1269,71.7938,P,H2
1.0902,61.22,P,H2
1.0961,73.6048,P,H2
1.0865,69.0665,P,H2
1.1378,75.2673,P,H2
1.0473,66.6303,P,H2
1.1374,66.5433,P,H2
1.1313,63.984,P,H2
1.0855,70.3578,P,H2
1.0584,72.2682,P,H2
1.0666,66.1015,P,H2
1.0897,49.9825,P,H2
1.047,49.0208,P,H2
1.1185,74.1853,P,H2
1.0871,74.9822,P,H2
1.1464,72.465,P,H2
1.0581,77.701,P,H2
1.1612,72.0408,P,H2
1.1209,68.7412,P,H2
1.075,71.538,P,H2
1.1351,70.5895,P,H2
1.0542,68.929,P,H2
1.0275,54.2518,P,H2
1.0956,72.1483,P,H2
1.1602,68.975,P,H2
1.0824,69.73,P,H2
1.189,57.3093,P,H2
1.1544,64.2133,P,H2
1.0103,68.4508,P,H2
1.0866,72.8908,P,H2
1.0279,66.0228,P,H2
1.0496,73.2843,P,H2
1.1472,73.1225,P,H2
1.0506,77.1368,P,H2
1.0876,70.094,P,H2
1.1084,71.0668,P,H2
1.1555,69.8875,P,H2
1.0978,67.0075,P,H2
0.9884,71.3713,P,H2
1.1476,62.4618,P,H2
1.1314,73.4488,P,H2
1.1161,75.9107,P,H2
1.0924,74.3935,P,H2
1.0826,70.3675,P,H2
1.0212,66.1375,P,H2
1.0061,64.384,N,H2
1.0817,68.705,N,H2
1.0027,69.4852,N,H2
1.0149,70.6445,N,H2
1.0272,70.5738,N,H2
0.9576,49.1273,N,H2
1.0345,60.6498,N,H2
1.0474,59.5948,N,H2
0.9682,57.9098,N,H2
1.0476,65.4968,N,H2
1.0895,64.2775,N,H2
1.0919,58.357,N,H2
1.0474,72.4998,N,H2
1.0567,75.1765,N,H2
1.0205,67.3995,N,H2
1.037,67.6312,N,H2
1.0379,56.3815,N,H2
1.0858,68.9653,N,H2
1.0218,71.199,N,H2
1.0141,65.3848,N,H2
1.0267,70.079,N,H2
0.9733,59.003,N,H2
1.0064,63.8953,N,H2
