SHL,haplo
1.01,H1
0.95,H1
1,H1
1.02,H1
1,H1
0.87,H1
0.98,H1
0.9,H1
0.93,H1
0.93,H1
0.98,H1
0.93,H1
1.01,H2
1.17,H2
1.06,H2
1.06,H2
1.08,H2
1,H2
1.01,H2
1.09,H2
1.14,H2
1.14,H2
1.01,H2
1.01,H2
1.03,H2
1.1,H2
0.96,H2
1.11,H2
1.03,H2
1.05,H2
0.97,H2
1.09,H2
1.13,H2
1.09,H2
1.1,H2
1.09,H2
1.14,H2
1.05,H2
1.09,H2
1.05,H2
1.14,H2
1.09,H2
1.13,H2
1.09,H2
1.05,H2
1.06,H2
1.06,H2
1.07,H2
1.09,H2
1.05,H2
1.12,H2
1.02,H2
1.04,H2
1.09,H2
1.04,H2
1.15,H2
1.09,H2
1.02,H2
1.06,H2
1.16,H2
1.12,H2
1.08,H2
1.14,H2
1.05,H2
1.03,H2
1.1,H2
1.16,H2
1.08,H2
1.01,H2
1.19,H2
1.03,H2
1.15,H2
1.01,H2
1.09,H2
1.03,H2
1.05,H2
1.15,H2
1.05,H2
1.09,H2
1.11,H2
1.16,H2
1.1,H2
0.99,H2
1.15,H2
1.13,H2
1.12,H2
1.01,H2
1.09,H2
1.08,H2
1.02,H2
1.05,H1H2
0.97,H1H2
1.02,H1H2
1.09,H1H2
1.07,H1H2
1.15,H1H2
1.14,H1H2
1.01,H1H2
1.01,H1H2
1.03,H1H2
1.09,H1H2
1.13,H1H2
1.06,H1H2
1.06,H1H2
0.98,H1H2
1,H1H2
1.03,H1H2
1.03,H1H2
1.01,H1H2
1.06,H1H2
1.06,H1H2
1.08,H1H2
1,H1H2
1.07,H1H2
1.05,H1H2
1.07,H1H2
1.08,H1H2
1.07,H1H2
1.01,H1H2
1.11,H1H2
0.95,H1H2
1.05,H1H2
1.06,H1H2
1.07,H1H2
0.97,H1H2
1.09,H1H2
1.01,H1H2
1.02,H1H2
1.12,H1H2
0.99,H1H2
1.1,H1H2
1.07,H1H2
1.06,H1H2
0.98,H1H2
1.08,H1H2
0.99,H1H2
1.04,H1H2
0.99,H1H2
1.08,H1H2
1.05,H1H2
